time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0003 00200 -1959.43561 0.10000 0.94000 0 0 0
    0.00 00001 0003 00213 -1948.75049 0.10000 0.94000 0 0 0
    0.00 00002 0003 00197 -1949.40684 0.10000 0.94000 0 0 0
    0.00 00003 0003 00201 -1960.70626 0.10000 0.94000 0 0 0
    0.00 00004 0004 00203 -1946.49872 0.10000 0.94000 0 0 0
    0.00 00005 0004 00205 -1965.27617 0.10000 0.94000 0 0 0
    0.00 00006 0004 00191 -1929.27642 0.10000 0.94000 0 0 0
    0.00 00007 0004 00201 -1997.08819 0.10000 0.94000 0 0 0
    0.00 00008 0004 00215 -1985.71942 0.10000 0.94000 0 0 0
    0.00 00009 0004 00201 -1959.59333 0.10000 0.94000 0 0 0
    0.00 00010 0004 00213 -1994.24352 0.10000 0.94000 0 0 0
    0.00 00011 0004 00225 -2004.55557 0.10000 0.94000 0 0 0
    0.00 00012 0005 00227 -2035.08682 0.10000 0.94000 0 0 0
    0.00 00013 0005 00203 -1984.06230 0.10000 0.94000 0 0 0
    0.00 00014 0005 00203 -1993.94684 0.10000 0.94000 0 0 0
    0.00 00015 0005 00216 -2022.93578 0.10000 0.94000 0 0 0
    0.00 00016 0005 00213 -1976.43640 0.10000 0.94000 0 0 0
    0.00 00017 0005 00209 -1976.28288 0.10000 0.94000 0 0 0
    0.00 00018 0005 00214 -1954.80883 0.10000 0.94000 0 0 0
    0.00 00019 0005 00192 -1905.62961 0.10000 0.94000 0 0 0
    0.00 00020 0005 00195 -1928.61424 0.10000 0.94000 0 0 0
    0.00 00021 0004 00177 -1922.97219 0.10000 0.94000 0 0 0
    0.00 00022 0004 00203 -1987.28419 0.10000 0.94000 0 0 0
    0.00 00023 0004 00193 -1983.28491 0.10000 0.94000 0 0 0
    0.00 00024 0004 00196 -1964.26096 0.10000 0.94000 0 0 0
    0.00 00025 0004 00202 -1970.78203 0.10000 0.94000 0 0 0
    0.00 00026 0004 00205 -1979.62418 0.10000 0.94000 0 0 0
    0.00 00027 0004 00215 -2013.32662 0.10000 0.94000 0 0 0
    0.00 00028 0004 00216 -2032.93947 0.10000 0.94000 0 0 0
    0.00 00029 0004 00204 -1978.53574 0.10000 0.94000 0 0 0
    0.00 00030 0004 00208 -1958.10556 0.10000 0.94000 0 0 0
    0.00 00031 0004 00197 -1938.04847 0.10000 0.94000 0 0 0
    1.00 00032 0004 00189 -1896.16268 0.10000 0.94000 0 0 0
    1.00 00033 0006 00196 -1929.92031 0.10000 0.94000 0 0 0
    1.00 00034 0005 00210 -1951.96742 0.10000 0.94000 0 0 0
    1.00 00035 0005 00192 -1891.42524 0.10000 0.94000 0 0 0
    1.00 00036 0004 00203 -1930.00278 0.10000 0.94000 0 0 0
    1.00 00037 0004 00185 -1909.10124 0.10000 0.94000 0 0 0
    1.00 00038 0004 00191 -1926.86342 0.10000 0.94000 0 0 0
    1.00 00039 0004 00197 -1955.09920 0.10000 0.94000 0 0 0
    1.00 00040 0004 00191 -1921.94965 0.10000 0.94000 0 0 0
    1.00 00041 0004 00193 -1931.34955 0.10000 0.94000 0 0 0
    1.00 00042 0004 00205 -1961.09235 0.10000 0.94000 0 0 0
    1.00 00043 0004 00202 -1974.99777 0.10000 0.94000 0 0 0
    1.00 00044 0004 00201 -1942.05797 0.10000 0.94000 0 0 0
    1.00 00045 0004 00208 -1953.12541 0.10000 0.94000 0 0 0
    1.00 00046 0004 00213 -1930.61889 0.10000 0.94000 0 0 0
    1.00 00047 0004 00205 -1943.33599 0.10000 0.94000 0 0 0
    1.00 00048 0004 00191 -1916.39729 0.10000 0.94000 0 0 0
    1.00 00049 0003 00211 -1958.54657 0.10000 0.94000 0 0 0
    1.00 00050 0004 00201 -1932.02404 0.10000 0.94000 0 0 0
    1.00 00051 0004 00190 -1904.48934 0.10000 0.94000 0 0 0
    1.00 00052 0004 00185 -1918.31873 0.10000 0.94000 0 0 0
    1.00 00053 0004 00197 -1943.01909 0.10000 0.94000 0 0 0
    1.00 00054 0004 00211 -1967.28332 0.10000 0.94000 0 0 0
    1.00 00055 0004 00196 -1944.18603 0.10000 0.94000 0 0 0
    1.00 00056 0004 00203 -1974.06380 0.10000 0.94000 0 0 0
    1.00 00057 0004 00208 -1952.87153 0.10000 0.94000 0 0 0
    1.00 00058 0004 00214 -1952.96518 0.10000 0.94000 0 0 0
    1.00 00059 0004 00200 -1952.19595 0.10000 0.94000 0 0 0
    1.00 00060 0004 00202 -1941.72316 0.10000 0.94000 0 0 0
    1.00 00061 0004 00205 -1948.44480 0.10000 0.94000 0 0 0
    1.00 00062 0004 00208 -1985.96372 0.10000 0.94000 0 0 0
    1.00 00063 0004 00212 -1981.07146 0.10000 0.94000 0 0 0
    1.00 00064 0004 00199 -1963.42563 0.10000 0.94000 0 0 0
    1.00 00065 0004 00215 -2007.68543 0.10000 0.94000 0 0 0
    1.00 00066 0004 00224 -2017.21381 0.10000 0.94000 0 0 0
    1.00 00067 0004 00199 -1956.68889 0.10000 0.94000 0 0 0
    1.00 00068 0004 00207 -1984.63316 0.10000 0.94000 0 0 0
    1.00 00069 0004 00207 -1968.63658 0.10000 0.94000 0 0 0
    1.00 00070 0005 00203 -1927.31240 0.10000 0.94000 0 0 0
    1.00 00071 0004 00209 -1943.62472 0.10000 0.94000 0 0 0
    1.00 00072 0004 00200 -1956.49877 0.10000 0.94000 0 0 0
    1.00 00073 0004 00204 -1938.16730 0.10000 0.94000 0 0 0
    1.00 00074 0004 00212 -1936.59477 0.10000 0.94000 0 0 0
    1.00 00075 0004 00203 -1942.89810 0.10000 0.94000 0 0 0
    1.00 00076 0004 00211 -1973.46953 0.10000 0.94000 0 0 0
    1.00 00077 0004 00214 -1992.47908 0.10000 0.94000 0 0 0
    1.00 00078 0004 00195 -1989.59253 0.10000 0.94000 0 0 0
    1.00 00079 0004 00208 -1992.08766 0.10000 0.94000 0 0 0
    1.00 00080 0004 00196 -1958.33543 0.10000 0.94000 0 0 0
    1.00 00081 0004 00211 -1957.07862 0.10000 0.94000 0 0 0
    1.00 00082 0004 00207 -1968.00671 0.10000 0.94000 0 0 0
    1.00 00083 0004 00211 -2016.06444 0.10000 0.94000 0 0 0
    1.00 00084 0004 00214 -1997.62769 0.10000 0.94000 0 0 0
